# Metaphor + ballet/piano expansion pass (2026-06-07): NEW spoken + narration lines added
# to clarify the "romance on letterhead" metaphor, add the Kaoru-piano ballet-practice scene,
# and deepen Kaoru's motivation arc. These are currently SILENT in the .rpy (no `voice` line,
# no allocated ID). A later audio step should allocate fresh IDs (next free per design doc:
# toa_474+, kaoru_595+, narrator_479+), voice them, and add the `voice` statements.
# Each record: FILE | LABEL | SPEAKER | TEXT  (placed AFTER a consumed say/voice; no leakage).
#
# Narration (SPEAKER = narrator) is currently unvoiced and CAN stay unvoiced, but the new
# ballet scene is a key beat, so its narration is listed here as eventual-voicing candidates
# to match the existing AU's heavily-voiced narrator.
#
# ============================================================================
# game/au_modern_wrong_floor.rpy  (3 new spoken lines)  -- metaphor coinage + motivation
# ============================================================================
au_modern_wrong_floor.rpy | au_modern_contract_menu (exclusive branch) | kaoru | Hear the word I used. *Not.* On letterhead would mean I filed us. Your name beside mine, a relationship of record, a thing the Council can open and read and rule on. The rider is the opposite of that. Calendar, clause, after-hours access. We keep the real word out of every box a clerk could subpoena, and we call the keeping-out a rider.
au_modern_case1_compliance.rpy | au_modern_case1_studio_session | kaoru | That is a recording. A recording cannot tell whether you are early or whether you are apologizing. It plays the same eight bars at the same tempo whether you are a witness or a liability. It is a metronome that forgot it was supposed to be a human.
au_modern_case1_compliance.rpy | au_modern_case1_studio_session | toa | And you could do better, Deputy Director-sama. You, who count witness work out loud and call it a duty.
au_modern_case1_compliance.rpy | au_modern_case1_studio_session | kaoru | I read music. It is mostly counting with better penmanship and a key signature where the case number goes.
au_modern_case1_compliance.rpy | au_modern_case1_studio_session | narrator | He stood, crossed the room, and did the thing she had never once managed to make him do across a desk. He took off the charcoal jacket, folded it over the barre with more care than he gave most applicants, rolled his sleeves to the forearm, and sat down at the municipal piano as if it were one more office the Council had assigned him. He set the stamp down. He met her on her floor, in her medium, where no signature he owned was worth a single thing.
au_modern_case1_compliance.rpy | au_modern_case1_studio_session (menu: precise) | toa | Then take a ticket, the way a class accompanist does. A repetiteur plays the dancer's instruction the way you read a filing. I hand you meter, tempo, quality, count. Adagio: a slow waltz, three-four time, smooth, thirty-two counts. Then play it like you mean it, not like you are proving the meter is compliant.
au_modern_case1_compliance.rpy | au_modern_case1_studio_session (menu: precise) | kaoru | Three-four. Slow. Thirty-two. Noted.
au_modern_case1_compliance.rpy | au_modern_case1_studio_session (menu: precise) | narrator | He played it correctly and without one ounce of feeling, every bar squared to the edge like a citation, a man performing the meter to prove the meter existed. She danced the adagio to it anyway, developpe and promenade and the long arabesque line, and it was fine, and fine was the most insulting word in either of their vocabularies.
au_modern_case1_compliance.rpy | au_modern_case1_studio_session (menu: fumble) | toa | Adagio first. Slow waltz, three-four, smooth. Thirty-two counts. Try not to file the rests.
au_modern_case1_compliance.rpy | au_modern_case1_studio_session (menu: fumble) | narrator | He fumbled the first eight bars the way a deputy fumbles a language he has only ever read in translation, a half beat behind her line, the left hand too literal, the waltz vamp landing like a stamp instead of a breath. She did not stop. She lifted into the developpe a fraction early and let her arm finish the phrase his hand had clipped short, teaching him with her spine the thing the file could not put into French.
au_modern_case1_compliance.rpy | au_modern_case1_studio_session | narrator | And then, somewhere in the second pass, it happened, the small unscheduled thing. He stopped playing the count and started playing her. His left hand found the breath underneath the three-four and held the dancer instead of the meter. When she suspended at the top of the developpe he waited for her, the chord hanging until her balance asked for the next one, and he gave it to her exactly when she needed it and not a beat before. He was not a metronome anymore. He was listening. He was, against every clause he had ever drafted, accompanying her.
au_modern_case1_compliance.rpy | au_modern_case1_studio_session | narrator | She felt the shift the way you feel a room change temperature. The piano stopped telling her what the tempo was and started asking what she wanted it to be, and answering. For eight bars the deputy director of the Office of Arts and Licensing was nobody's signatory of record. He was the man at the piano who had decided, mid-phrase, to meet her where she actually lived.
au_modern_case1_compliance.rpy | au_modern_case1_studio_session | toa | You changed it. You stopped counting and started listening. Those are not the same skill. The first one keeps time. The second one keeps me.
au_modern_case1_compliance.rpy | au_modern_case1_studio_session | kaoru | A recording cannot do the second one. I find I object to being outperformed by a speaker that survived three tours. File it under professional pride and let it stay there.
au_modern_case1_compliance.rpy | au_modern_case1_studio_session | toa | I will file it wherever lets you keep doing it.
au_modern_case1_compliance.rpy | au_modern_case1_studio_session | narrator | She ran the rest of the centre to his hands: pirouettes that found their spot because he gave her the downbeat to spot to, petit allegro snapped tight to a brisk two-four march, grand allegro carried clear across the floor on a waltz that finally let her leave the ground like she meant to. He watched and played at once, the witness and the accompaniment collapsed into one man in rolled sleeves, which she would not have believed of him an hour ago.
au_modern_case1_compliance.rpy | au_modern_case1_studio_session | kaoru | Grand allegro. You travel, I give you the bars to land in. Do not apologize on the descent. The descent is the part the board never watches and the only part that can hurt you.
au_modern_case1_compliance.rpy | au_modern_case1_studio_session | toa | Noted, Deputy Director-sama. I will land like I am allowed to be in the room.
au_modern_case1_compliance.rpy | au_modern_case1_studio_session | narrator | When the class wound down he slowed without being asked, into something adagio and low, and she understood he had read far enough into the file to know what came last.
au_modern_case1_compliance.rpy | au_modern_case1_studio_session | toa | Reverence. The end of every class. A bow to the teacher, and a bow to the accompanist, because a dancer never thanks the audience first. She thanks the two people who actually held the room. There is no audience here. There is only the accompanist.
au_modern_case1_compliance.rpy | au_modern_case1_studio_session | narrator | She curtsied to the piano. To him. He let the last chord ring out under the rain and did not deny the bow, did not rule against it, did not reach yet for the jacket folded over the barre and the title that lived in its breast pocket. For the length of one held chord he was only the man she had thanked, and he let himself be thanked, on no letterhead at all.
au_modern_case1_compliance.rpy | au_modern_case1_studio_session (if piano_mode == fumble) | kaoru | I played the first eight bars badly. Strike them from the witness log.
au_modern_case1_compliance.rpy | au_modern_case1_studio_session (if piano_mode == fumble) | toa | Denied. The bad eight bars are how I know the good ones were real. I am keeping the whole take, Deputy Director-sama.
au_modern_case1_compliance.rpy | au_modern_case1_studio_session (else: precise) | kaoru | I played it correctly before I played it well. Note the difference in your log. It is the only review I will ever file on myself.
au_modern_case1_compliance.rpy | au_modern_case1_studio_session (else: precise) | toa | Noted and entered. The correct version was compliant. The well version was you. I can tell them apart now, and I will never be able to stop.
au_modern_case1_compliance.rpy | au_modern_case1_studio_session | narrator | He rolled his sleeves back down, refastened the cuffs, and reassembled the deputy director one button at a time. But he was slower about it than the file required, and she saw that too, and said nothing, because some witness work is kinder kept off the record.
au_modern_case1_compliance.rpy | au_modern_case1_studio_session | kaoru | We are due back at the tower. The inspection still has to close on paper. None of what just happened goes in that report. A studio with a piano is not a deliverable the Council keeps a box for.
au_modern_case1_compliance.rpy | au_modern_case1_studio_session | toa | Then it stays off letterhead. Like everything else you mean. I am learning the filing system, Deputy Director-sama. The real things go in the drawer with no label, and you guard that drawer harder than you guard the seal.
au_modern_case1_compliance.rpy | au_modern_case1_studio_session | narrator | He did not confirm it. He held the studio door for her the way a gate holds weather, and the almost-smile got as far as his eyes before he filed it, and for once the filing took a visible second longer than it should have.
# --- au_modern_case1_passed_witness (1 new narration: ties the hinge to the harbor pitch) ---
au_modern_case1_compliance.rpy | au_modern_case1_passed_witness | narrator | He did not mention the studio on the walk back, and neither did she, which was its own kind of minutes. But he booked the harbor weekend that same afternoon, and she would wonder, later, whether the piano had moved the date up by a week.
# --- au_modern_case1_elevator_echo (2 new spoken: metaphor irony reinforcement) ---
au_modern_case1_compliance.rpy | au_modern_case1_elevator_echo | toa | Rider compliance. We have a clause for standing this close, a footnote for the elevator, a code for the harbor. The file has a word for everything we do except the one word for what it is.
au_modern_case1_compliance.rpy | au_modern_case1_elevator_echo | kaoru | The file uses the words I can defend. The word you mean stays off letterhead, where the board cannot read it back to us in a hearing. That is not a denial. That is custody.
#
# ============================================================================
# game/au_modern_case2_island_weekend.rpy  (3 new spoken lines)
# ============================================================================
au_modern_case2_island_weekend.rpy | au_modern_case2_friend_texts | toa | She sends back *sure, Jan.* And she is not wrong. The contract says not romance on letterhead, and the contract is the most romantic thing anyone has ever written about me. That is the whole joke. We file it as procedure so we never have to call it the thing it plainly is.
au_modern_case2_island_weekend.rpy | au_modern_case2_balcony_audit | toa | I keep thinking about the studio. The afternoon you put down the clipboard and played the piano so I could take class. You stopped counting and started listening, and you have been a different kind of careful with me ever since. That is also not on any letterhead. I checked the file twice.
au_modern_case2_island_weekend.rpy | au_modern_case2_balcony_audit | kaoru | The piano is not in the record. Neither is the reason I sat down at it. Some deliverables I keep in the drawer with no label, where the board cannot ask me to explain them. You are filed in that drawer. So is the afternoon.
#
# ============================================================================
# game/au_modern_case3_permits_hr.rpy  (2 new spoken lines; personal-disclosure branch)
# ============================================================================
au_modern_case3_permits_hr.rpy | au_modern_case3_reconcile (disclosure == personal) | toa | On letterhead. After three cases of *not romance on letterhead,* you wrote the romance onto the letterhead yourself, in ink, where a clerk can read it. You spent a year keeping it off the record to protect us. Today you put it on the record to protect us. The whole metaphor just turned over in its sleep.
au_modern_case3_permits_hr.rpy | au_modern_case3_reconcile (disclosure == personal) | kaoru | I stopped being able to file you as procedure somewhere around a studio piano. A man cannot accompany a woman through a whole class, badly and then well, and keep pretending the clause is the true version. So I amended the true version instead. It was the only honest filing left on the desk.
#
# ============================================================================
# game/au_modern_epilogue.rpy  (2 new spoken lines)
# ============================================================================
au_modern_epilogue.rpy | au_modern_epilogue_letterhead | toa | You spent three cases teaching me what *on letterhead* meant. That filing us as real was the one motion you would not grant. And now you have granted it in your own hand, on the Council's own grid, where the building keeps the things it cannot take back. You did not keep us off the record to hide. You put us on it so no one could.
au_modern_epilogue.rpy | au_modern_epilogue_harbor | toa | You still play sometimes. When you think the building has stopped listening. The same out-of-tune municipal piano, moved to the harbor place on a work order nobody questioned. You filed the piano under *equipment, surplus.* I filed it under the afternoon you stopped counting and started listening, which is the afternoon you decided to keep me. We have very different filing systems for the same instrument.
#
# ============================================================================
# Totals: 34 new spoken lines (toa/kaoru) + 15 new narration lines = 49 new silent lines.
#   Wrong Floor: 3 spoken.
#   Case 1: 24 spoken + 15 narration (22 spoken + 14 narration in the new studio scene;
#           1 narration in passed_witness; 2 spoken in elevator_echo).
#   Case 2: 3 spoken.  Case 3: 2 spoken.  Epilogue: 2 spoken.
